2025-03-27 12:02:25; ERROR; Aura Pluing; 13716; 9840] [AuraDlg][ACPIWMICommandFromBIOS] Command = 0x00120094 FAILED!!!!!
2025-03-27 12:02:25; INFO; Aura Pluing; 13716; 10932] [AuraServiceHelper][GetDeviceCap] QueryAllDevice SUCCESS
2025-03-27 12:02:25; INFO; Aura Pluing; 13716; 9840] [AuraDlg][CheckServiceVersion] In
2025-03-27 12:02:25; INFO; User Session Manager; 13716; 10408] OnPowerChange Start
2025-03-27 12:02:25; INFO; User Session Manager; 13716; 10408] OnPowerChange End
2025-03-27 12:02:25; WARNING; Aura Pluing; 13716; 1548] [ROGAuraInterface][GetDevListFromLightingService] from GetMatrixLEDDevice End
2025-03-27 12:02:26; INFO; Aura Pluing; 13716; 1548] [AuraSyncDeviceLog][GetMatrixLEDDevice] Set Matrix Attributes done
2025-03-27 12:02:26; WARNING; Aura Pluing; 13716; 1548] [ROGAuraInterface][GetDevListFromLightingService] from LSServiceNotifyCallback Start
2025-03-27 12:02:26; INFO; Aura Pluing; 13716; 7804] [AuraServiceHelper][GetDeviceCap] GetDeviceStatus SUCCESS
2025-03-27 12:02:26; INFO; Aura Pluing; 13716; 7804] [AuraServiceHelper][GetDeviceCap] GetDeviceCap SUCCESS
2025-03-27 12:02:26; INFO; Aura Pluing; 13716; 7804] [AuraServiceHelper][GetDeviceCap] QueryAllDevice SUCCESS
2025-03-27 12:02:26; INFO; Aura Pluing; 13716; 9840] [AuraDlg][CheckServiceVersion] Out
2025-03-27 12:02:26; WARNING; Aura Pluing; 13716; 9840] [ROGAuraInterface][GetDevListFromLightingService] from InitializeAURA Start
2025-03-27 12:02:26; INFO; Aura Pluing; 13716; 6620] [AuraServiceHelper][GetDeviceCap] GetDeviceStatus SUCCESS
2025-03-27 12:02:26; INFO; Aura Pluing; 13716; 6620] [AuraServiceHelper][GetDeviceCap] GetDeviceCap SUCCESS
2025-03-27 12:02:26; INFO; Aura Pluing; 13716; 6620] [AuraServiceHelper][GetDeviceCap] QueryAllDevice SUCCESS
2025-03-27 12:02:26; WARNING; Aura Pluing; 13716; 1548] [ROGAuraInterface][GetDevListFromLightingService] from LSServiceNotifyCallback End
2025-03-27 12:02:26; INFO; WebSocketClientPlugin; 13716; 9488] PushUpdateWebSocketStatus Update Status: Connect Fail
